Exercici,Ingrés / Despesa,Servei / entitat,Nom servei / entitat,Subsector,Agrupació,"Agrupació
SP",Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicació,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Partida,Import sense consolidar
2010,D,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,Generalitat,CU,CU,CU,X,X,1000,Generalitat,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,2,20,200,2000002,"Altres lloguers i cànons de terrenys, béns natural s, edificis i altres construccions",1,12,121,Direcció i administració generals,D/200000200/1210/0000,"546.161,25"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"2.622,64"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"2.400,00"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"58.712,90"
2010,D,JU01,Gabinet i SG de Justícia,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU01,Gabinet i SG de Justícia,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"13.261,25"
2010,D,PR03,Secretaria General Adjunta,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR03,Secretaria General Adjunta,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"165.428,00"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,20,204,2040001,Altres lloguers i cànons,1,12,121,Direcció i administració generals,D/204000100/1210/0000,"35.000,00"
2010,D,JU01,Gabinet i SG de Justícia,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU01,Gabinet i SG de Justícia,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"28.750,00"
2010,D,PR01,Gabinet i SG de la Presidència,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR01,Gabinet i SG de la Presidència,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"4.600,00"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"1.137.300,00"
2010,D,TI01,Gabinet i SG de Treball,Generalitat,TI,TI,TI,X,X,1000,Generalitat,TI01,Gabinet i SG de Treball,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"975.000,00"
2010,D,MA07,Secretaria d’Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA07,Secretaria d’Habitatge,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"1.200.000,00"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"788.319,00"
2010,D,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",Generalitat,AG,AG,AG,X,X,1000,Generalitat,AG01,"Gabinet i SG d'Agricultura, Alimentació i Acció Rural",2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"95.000,00"
2010,D,EN01,Gabinet i SG d'Educació,Generalitat,EN,EN,EN,X,X,1000,Generalitat,EN01,Gabinet i SG d'Educació,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"886.100,00"
2010,D,PR03,Secretaria General Adjunta,Generalitat,PR,PR,PR,X,X,1000,Generalitat,PR03,Secretaria General Adjunta,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"1.124.198,13"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"958.562,36"
2010,D,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,Generalitat,FN,FN,DD,X,X,1000,Generalitat,DD03,Despeses diversos departaments. Gestió Patrimonial. DG del Patrimoni,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"50.000,00"
2010,D,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",Generalitat,IT,IT,IT,X,X,1000,Generalitat,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"791.880,00"
2010,D,JU06,Direcció General de Gestió d'Infraestructures,Generalitat,JU,JU,JU,X,X,1000,Generalitat,JU06,Direcció General de Gestió d'Infraestructures,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"435.272,73"
2010,D,EC01,Gabinet i SG d'Economia i Finances,Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC01,Gabinet i SG d'Economia i Finances,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"2.216.208,98"
2010,D,GO01,Gabinet i SG de Governació i Administracions Públiques,Generalitat,GO,GO,GO,X,X,1000,Generalitat,GO01,Gabinet i SG de Governació i Administracions Públiques,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"1.142.718,03"
2010,D,PO01,Gabinet i SG de Política Territorial i Obres Públiques,Generalitat,PO,PO,PO,X,X,1000,Generalitat,PO01,Gabinet i SG de Política Territorial i Obres Públiques,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"997.852,50"
2010,D,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"779.860,00"
2010,D,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,Generalitat,CU,CU,CU,X,X,1000,Generalitat,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"1.403.980,00"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,21,210,2100001,"Conservació, reparació i manteniment terrenys, bén s naturals, edificis i altres construccions",1,12,121,Direcció i administració generals,D/210000100/1210/0000,"941.060,78"
2010,D,VP01,Gabinet i SG de la Vicepresidència,Generalitat,VP,VP,VP,X,X,1000,Generalitat,VP01,Gabinet i SG de la Vicepresidència,2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"2.390,00"
2010,D,MA01,Gabinet i SG de Medi Ambient i Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA01,Gabinet i SG de Medi Ambient i Habitatge,2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"90.182,06"
2010,D,SA01,Gabinet i SG de Salut,Generalitat,SA,SA,SA,X,X,1000,Generalitat,SA01,Gabinet i SG de Salut,2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"388.100,00"
2010,D,BE01,Gabinet i SG d'Acció Social i Ciutadania,Generalitat,BE,BE,BE,X,X,1000,Generalitat,BE01,Gabinet i SG d'Acció Social i Ciutadania,2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"1.450,00"
2010,D,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",Generalitat,IU,IU,IU,X,X,1000,Generalitat,IU01,"Gabinet i SG d'Innovació, Universitats i Empresa",2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"54.080,00"
2010,D,MA07,Secretaria d’Habitatge,Generalitat,MA,MA,MA,X,X,1000,Generalitat,MA07,Secretaria d’Habitatge,2,21,214,2140001,"Altres despeses de conservació, reparació i manten iment",1,12,121,Direcció i administració generals,D/214000100/1210/0000,"1.000,00"
2010,D,EC01,Gabinet i SG d'Economia i Finances,Generalitat,EC,EC,EC,X,X,1000,Generalitat,EC01,Gabinet i SG d'Economia i Finances,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"348.988,80"
2010,D,EN01,Gabinet i SG d'Educació,Generalitat,EN,EN,EN,X,X,1000,Generalitat,EN01,Gabinet i SG d'Educació,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"546.500,00"
2010,D,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,Generalitat,CU,CU,CU,X,X,1000,Generalitat,CU02,Gabinet i SG de Cultura i Mitjans de Comunicació,2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"569.234,43"
2010,D,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",Generalitat,IT,IT,IT,X,X,1000,Generalitat,IT01,"Gabinet i SG d'Interior, Relacions Institucionals i Participació",2,22,220,2200001,Material ordinari no inventariable,1,12,121,Direcció i administració generals,D/220000100/1210/0000,"110.000,00"
