Exercici,Ingrés / Despesa,Servei / Entitat,Nom Servei / Entitat,Subsector,Agrupació,Agrupació SP,Secció,Entitat CP Sector Públic,Entitat CP SEC,Entitat,Nom Entitat,Servei,Nom Servei,Capítol,Article,Concepte,Aplicacio,Nom Aplicació,Àrea,Política,Programa,Nom Programa,Pos.pressupostària,Import sense consolidar,Identificador
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,1,10,100,1000001,IRPF (bestreta tram autonòmic),0,0,0,,I/100000100/0000,8055919400,1
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,1,10,105,1050001,Impost sobre grans establiments comercials,0,0,0,,I/105000100/0000,13995000,2
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,1,11,110,1100001,Impost general sobre successions,0,0,0,,I/110000100/0000,254613300,3
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,1,11,110,1100002,Impost general sobre donacions,0,0,0,,I/110000200/0000,34006200,4
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,20,200,2000001,Impost sobre transmissions patrimonials,0,0,0,,I/200000100/0000,738822600,5
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,20,201,2010001,Impost sobre actes jurídics documentats,0,0,0,,I/201000100/0000,535279800,6
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,20,202,2020001,Impost sobre operacions societàries,0,0,0,,I/202000100/0000,12454500,7
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,21,210,2100001,IVA (bestreta participació en l'impost estatal),0,0,0,,I/210000100/0000,4618951480,8
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,21,210,2100002,IVA (liquidació participació en l'impost estatal),0,0,0,,I/210000200/0000,-80325220,9
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,220,2200001,Impost especial sobre labors del tabac (bestreta p articipació en l'impost estatal),0,0,0,,I/220000100/0000,953696070,10
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,221,2210001,Impost especial sobre alcohols (bestreta participa ció en l'impost estatal),0,0,0,,I/221000100/0000,122259820,11
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,222,2220001,Impost especial sobre hidrocarburs (bestreta parti cipació en l'impost estatal),0,0,0,,I/222000100/0000,996566200,12
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,223,2230001,Impost especial sobre energia (bestreta),0,0,0,,I/223000100/0000,279251110,13
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,224,2240001,Impost especial sobre determinats mitjans de trans port,0,0,0,,I/224000100/0000,110000000,14
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,225,2250001,Impost sobre vendes detallistes de determinats hid rocarburs,0,0,0,,I/225000100/0000,140200000,15
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,2,22,225,2250002,Impost sobre les vendes detallistes de determinats  hidrocarburs. Tram autonòmic,0,0,0,,I/225000200/0000,140200000,16
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,30,301,3010001,Venda de publicacions,0,0,0,,I/301000100/0000,84620,17
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,31,310,3100001,Administració i cobrança,0,0,0,,I/310000100/0000,673940,18
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,31,312,3120001,Drets d'allotjament i restauració,0,0,0,,I/312000100/0000,3172570,19
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,31,313,3130001,Comissions sobre avals i assegurances per operacio ns financeres,0,0,0,,I/313000100/0000,389420,20
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,31,319,3190001,Guarderies infantils,0,0,0,,I/319000100/0000,3181180,21
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,31,319,3190009,Prestacions d'altres serveis,0,0,0,,I/319000900/0000,1173770,22
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210001,Taxes,0,0,0,,I/321000100/0000,9644710,23
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210009,Taxes per la inscripció a convocatòries de selecci ó de personal,0,0,0,,I/321000900/0000,1529630,24
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210010,Taxes per l'expedició de títols acadèmics i profes sionals,0,0,0,,I/321001000/0000,3450940,25
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210011,Taxes per la prestació de serveis docents de les e scoles oficials d'idiomes,0,0,0,,I/321001100/0000,7421430,26
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210012,Taxes per l'autorització de transport terrestre,0,0,0,,I/321001200/0000,1375550,27
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210013,"Taxes pel control i prova d'aparells, recipients o  vehicles segons normativa industrial",0,0,0,,I/321001300/0000,2161100,28
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210014,Taxes per l'expedició de la cèdula d'habitabilitat,0,0,0,,I/321001400/0000,989340,29
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210015,Taxes per serveis de la Direcció General del Joc i  d'Espectacles,0,0,0,,I/321001500/0000,4894010,30
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210016,"Certificacions tècniques i informes en l'àmbit d'i ndústria, energia i mines",0,0,0,,I/321001600/0000,592350,31
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210018,Taxes pels drets de concessió de les autoritzacion s de treball per a les persones estrang.,0,0,0,,I/321001800/0000,3000000,32
2011,I,1000,,Generalitat,,,0,X,X,1000,Generalitat,,,3,32,321,3210019,Taxa per la prestació de serveis de prevenció i ex tinció d'incendis i salvaments,0,0,0,,I/321001900/0000,125000,33
